,title,year,kind,genre,rating,runtime
273,The Way of the Dragon,1972,movie,"['Action', 'Adventure', 'Comedy', 'Crime', 'Drama', 'Thriller']",7.3,169
274,Moon Child,1989,movie,"['Fantasy', 'Sci-Fi']",6.3,90
275,The Shawshank Redemption,1994,movie,['Drama'],9.3,77
276,Voices of a Distant Star,2002,movie,"['Animation', 'Short', 'Drama', 'Romance', 'Sci-Fi']",7.2,89
277,Léon: The Professional,1994,movie,"['Action', 'Crime', 'Drama', 'Thriller']",8.5,180
278,Dust to Dust,2000,movie,['Comedy'],6.9,92
279,Madonna: Music,2000,video movie,"['Short', 'Music']",7.2,78
280,Stellaluna,2002,video movie,"['Animation', 'Short', 'Family']",6.6,151
281,Freeway II: Confessions of a Trickbaby,1999,movie,"['Comedy', 'Crime', 'Drama', 'Thriller']",5.5,25
282,The Bog Creatures,2003,movie,['Horror'],2.7,85
283,Earth,1998,movie,"['Drama', 'Romance', 'War']",7.7,93
284,Homeless to Harvard: The Liz Murray Story,2003,tv movie,"['Biography', 'Drama']",7.2,88
285,Mon Oncle,1958,movie,['Comedy'],7.8,254
286,Martin Luther,2002,tv movie,"['Biography', 'Drama', 'History']",7.1,100
287,Emmanuelle in Rio,2003,tv movie,"['Drama', 'Romance']",3.1,90
288,Play'd: A Hip Hop Story,2002,tv movie,['Drama'],6.1,103
289,The Piano,1993,movie,"['Drama', 'Music', 'Romance']",7.6,90
290,Death Machine,1994,movie,"['Action', 'Horror', 'Sci-Fi', 'Thriller']",5.6,84
291,Liberty Stands Still,2002,movie,"['Action', 'Drama', 'Thriller']",5.7,195
292,Food of Love,2002,movie,"['Drama', 'Music', 'Romance']",6.0,30
293,House on Haunted Hill,1999,movie,"['Crime', 'Fantasy', 'Horror', 'Mystery', 'Thriller']",5.6,138
294,Mouth to Mouth,2005,movie,['Drama'],6.2,88
295,Spring Symphony,1983,movie,"['Biography', 'Music']",6.2,78
296,Baby Einstein: Baby Neptune Discovering Water,2003,video movie,"['Animation', 'Family']",7.8,85
297,Live from Baghdad,2002,tv movie,"['Drama', 'War']",7.3,142
298,Mr. Murder,1998,tv movie,"['Crime', 'Sci-Fi', 'Thriller']",5.1,53
299,Dangerous Evidence: The Lori Jackson Story,1999,tv movie,['Drama'],5.4,97
300,Komodo,1999,movie,"['Adventure', 'Horror', 'Sci-Fi', 'Thriller']",4.2,24
301,Cléo from 5 to 7,1962,movie,"['Comedy', 'Drama', 'Music']",7.9,101
302,China: The Panda Adventure,2001,movie,['Drama'],5.9,106
303,Uncle Saddam,2000,movie,"['Documentary', 'Comedy', 'History', 'War']",6.5,60
304,Legalese,1998,tv movie,"['Crime', 'Drama', 'Romance']",6.2,80
305,Seabiscuit,1939,movie,['Documentary'],7.4,94
306,Children of the Corn 666: Isaac's Return,1999,video movie,"['Horror', 'Mystery', 'Thriller']",3.5,97
307,Street Fighter Alpha: Generations,2005,video movie,"['Animation', 'Action', 'Adventure', 'Fantasy', 'Thriller']",5.7,90
308,Waco: The Rules of Engagement,1997,movie,"['Documentary', 'History']",7.9,83
309,The Gingko Bed,1996,movie,"['Action', 'Fantasy', 'Horror', 'Romance']",5.6,128
310,Fangoria: Blood Drive,2004,video movie,['Horror'],4.4,109
311,Belly of the Beast,2003,video movie,['Action'],4.7,51
312,Britannia Hospital,1982,movie,"['Comedy', 'Sci-Fi']",6.2,62
313,Pistol Opera,2001,movie,"['Crime', 'Action', 'Drama']",6.3,89
314,Hysteria: The Def Leppard Story,2001,tv movie,"['Biography', 'Drama', 'Music']",6.6,91
315,The Diamond Arm,1969,movie,"['Adventure', 'Comedy', 'Crime']",8.4,95
316,The Stink of Flesh,2005,video movie,"['Comedy', 'Horror']",4.3,96
317,Man on the Train,2002,movie,"['Crime', 'Drama', 'Thriller']",7.2,81
318,The Cold Summer of 1953,1988,movie,"['Action', 'Crime', 'Drama', 'Thriller']",7.9,146
319,Porn Star: The Legend of Ron Jeremy,2001,movie,"['Documentary', 'Biography']",6.4,118
320,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003,movie,"['Animation', 'Action', 'Adventure', 'Music', 'Sci-Fi']",7.8,30
321,Fiend Without a Face,1958,movie,"['Horror', 'Sci-Fi']",6.2,384
